Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2021-06-06,9,0,0
2021-06-13,12,3,0
2021-06-20,7,0,0
2021-06-27,8,3,0
2021-07-04,7,0,0
2021-07-11,10,0,0
2021-07-18,8,0,0
2021-07-25,8,0,0
2021-08-01,7,0,0
2021-08-08,6,0,0
2021-08-15,5,0,0
2021-08-22,5,0,0
2021-08-29,4,3,0
2021-09-05,4,0,0
2021-09-12,6,0,0
2021-09-19,5,0,0
2021-09-26,7,0,0
2021-10-03,6,0,0
2021-10-10,4,0,0
2021-10-17,7,0,0
2021-10-24,4,0,0
2021-10-31,0,0,0
2021-11-07,8,0,0
2021-11-14,0,4,0
2021-11-21,3,0,0
2021-11-28,7,0,0
2021-12-05,6,0,0
2021-12-12,5,0,0
2021-12-19,0,0,0
2021-12-26,5,0,0
2022-01-02,13,5,0
2022-01-09,7,0,0
2022-01-16,8,3,0
2022-01-23,4,0,0
2022-01-30,7,0,0
2022-02-06,8,0,0
2022-02-13,5,0,0
2022-02-20,11,2,0
2022-02-27,8,4,0
2022-03-06,11,3,0
2022-03-13,16,3,0
2022-03-20,20,5,0
2022-03-27,28,8,0
2022-04-03,31,9,0
2022-04-10,43,14,0
2022-04-17,65,23,3
2022-04-24,86,25,0
2022-05-01,77,22,3
2022-05-08,78,28,0
2022-05-15,99,34,3
2022-05-22,92,27,0
2022-05-29,96,28,0
2022-06-05,89,26,0
2022-06-12,86,31,3
2022-06-19,71,23,0
2022-06-26,69,20,0
2022-07-03,55,19,0
2022-07-10,50,14,0
2022-07-17,46,13,0
2022-07-24,40,12,0
2022-07-31,34,11,0
2022-08-07,24,6,0
2022-08-14,28,8,0
2022-08-21,20,3,2
2022-08-28,19,5,0
2022-09-04,13,4,0
2022-09-11,13,4,0
2022-09-18,12,4,0
2022-09-25,8,0,0
2022-10-02,7,2,0
2022-10-09,10,0,0
2022-10-16,9,5,0
2022-10-23,5,0,0
2022-10-30,6,0,0
2022-11-06,8,0,0
2022-11-13,6,0,0
2022-11-20,9,0,0
2022-11-27,6,0,0
2022-12-04,9,0,0
2022-12-11,5,3,0
2022-12-18,4,0,0
2022-12-25,4,3,0
2023-01-01,7,5,0
2023-01-08,4,0,0
2023-01-15,8,0,0
2023-01-22,5,0,0
2023-01-29,6,2,0
2023-02-05,5,4,0
2023-02-12,4,0,0
2023-02-19,5,3,0
2023-02-26,10,4,0
2023-03-05,9,4,0
2023-03-12,10,3,0
2023-03-19,13,4,0
2023-03-26,21,3,0
2023-04-02,15,3,0
2023-04-09,20,3,0
2023-04-16,23,10,0
2023-04-23,17,4,0
2023-04-30,15,4,0
2023-05-07,14,0,0
2023-05-14,15,3,0
2023-05-21,11,4,0
2023-05-28,8,3,0
2023-06-04,10,0,0
2023-06-11,7,3,0
2023-06-18,9,0,0
2023-06-25,11,0,2
2023-07-02,13,0,0
2023-07-09,8,3,0
2023-07-16,9,0,0
2023-07-23,6,0,0
2023-07-30,5,0,0
2023-08-06,5,0,0
2023-08-13,6,0,0
2023-08-20,7,0,0
2023-08-27,6,3,0
2023-09-03,8,0,0
2023-09-10,3,0,0
2023-09-17,3,0,0
2023-09-24,5,0,0
2023-10-01,5,0,0
2023-10-08,7,0,0
2023-10-15,6,0,0
2023-10-22,7,0,0
2023-10-29,0,0,0
2023-11-05,10,0,5
2023-11-12,6,0,0
2023-11-19,6,0,0
2023-11-26,8,0,0
2023-12-03,4,0,0
2023-12-10,7,0,0
2023-12-17,9,3,0
2023-12-24,8,0,0
2023-12-31,7,0,0
2024-01-07,9,3,0
2024-01-14,12,6,0
2024-01-21,14,3,3
2024-01-28,17,5,0
2024-02-04,32,7,0
2024-02-11,50,14,0
2024-02-18,84,18,0
2024-02-25,88,20,0
2024-03-03,100,21,0
2024-03-10,87,18,0
2024-03-17,88,20,1
2024-03-24,67,16,1
2024-03-31,59,16,<1
