Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco)
2024-08-25,10,2
2024-09-01,9,2
2024-09-08,10,2
2024-09-15,9,1
2024-09-22,9,0
2024-09-29,7,1
2024-10-06,6,1
2024-10-13,10,1
2024-10-20,10,1
2024-10-27,7,1
2024-11-03,8,2
2024-11-10,7,0
2024-11-17,8,0
2024-11-24,8,2
2024-12-01,7,1
2024-12-08,6,1
2024-12-15,7,0
2024-12-22,6,0
2024-12-29,6,1
2025-01-05,7,2
2025-01-12,10,1
2025-01-19,11,2
2025-01-26,10,1
2025-02-02,9,<1
2025-02-09,12,2
2025-02-16,14,2
