Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2023-02-12,14,4
2023-02-19,15,4
2023-02-26,19,6
2023-03-05,21,7
2023-03-12,26,8
2023-03-19,29,8
2023-03-26,34,10
2023-04-02,26,9
2023-04-09,25,8
2023-04-16,22,6
2023-04-23,21,6
2023-04-30,19,6
2023-05-07,18,5
2023-05-14,19,5
2023-05-21,18,4
2023-05-28,15,4
2023-06-04,13,3
2023-06-11,15,4
2023-06-18,17,4
2023-06-25,13,2
2023-07-02,17,3
2023-07-09,12,3
2023-07-16,10,2
2023-07-23,10,3
2023-07-30,8,2
2023-08-06,8,1
2023-08-13,8,2
2023-08-20,9,2
2023-08-27,8,2
2023-09-03,6,2
2023-09-10,8,0
2023-09-17,9,2
2023-09-24,7,1
2023-10-01,8,2
2023-10-08,5,0
2023-10-15,7,0
2023-10-22,6,1
2023-10-29,6,2
2023-11-05,7,0
2023-11-12,8,2
2023-11-19,8,1
2023-11-26,8,2
2023-12-03,8,2
2023-12-10,8,2
2023-12-17,9,2
2023-12-24,7,1
2023-12-31,8,2
2024-01-07,10,2
2024-01-14,9,3
2024-01-21,14,4
2024-01-28,22,5
2024-02-04,31,7
2024-02-11,49,14
2024-02-18,83,20
2024-02-25,97,22
2024-03-03,100,22
2024-03-10,90,19
2024-03-17,77,19
2024-03-24,57,15
2024-03-31,71,19
2024-04-07,67,17
2024-04-14,59,16
2024-04-21,52,14
2024-04-28,41,9
2024-05-05,34,8
2024-05-12,31,6
2024-05-19,29,5
2024-05-26,22,3
2024-06-02,24,5
2024-06-09,24,5
2024-06-16,16,3
2024-06-23,15,3
2024-06-30,13,3
2024-07-07,14,3
2024-07-14,11,3
2024-07-21,12,1
2024-07-28,10,2
2024-08-04,10,2
2024-08-11,10,2
2024-08-18,9,2
2024-08-25,9,1
2024-09-01,8,1
2024-09-08,11,0
2024-09-15,10,0
2024-09-22,8,0
2024-09-29,8,2
2024-10-06,8,2
2024-10-13,9,0
2024-10-20,12,2
2024-10-27,9,1
2024-11-03,8,0
2024-11-10,9,2
2024-11-17,8,0
2024-11-24,7,0
2024-12-01,9,2
2024-12-08,7,0
2024-12-15,10,2
2024-12-22,5,0
2024-12-29,6,1
2025-01-05,9,1
2025-01-12,10,0
2025-01-19,12,2
2025-01-26,14,2
2025-02-02,14,2
2025-02-09,17,2
2025-02-16,18,2
2025-02-23,17,4
2025-03-02,14,2
2025-03-09,19,2
2025-03-16,21,4
2025-03-23,19,3
2025-03-30,17,2
2025-04-06,17,2
2025-04-13,16,3
2025-04-20,17,3
