"","Year","Month","Canton","Cases"
"6464",2002,12,"Santa Ana",1
"6465",2003,1,"Santa Ana",0
"6466",2003,2,"Santa Ana",1
"6467",2003,3,"Santa Ana",0
"6468",2003,4,"Santa Ana",2
"6469",2003,5,"Santa Ana",12
"6470",2003,6,"Santa Ana",9
"6471",2003,7,"Santa Ana",5
"6472",2003,8,"Santa Ana",7
"6473",2003,9,"Santa Ana",3
"6474",2003,10,"Santa Ana",4
"6475",2003,11,"Santa Ana",4
"6476",2003,12,"Santa Ana",2
"6477",2004,1,"Santa Ana",9
"6478",2004,2,"Santa Ana",1
"6479",2004,3,"Santa Ana",2
"6480",2004,4,"Santa Ana",3
"6481",2004,5,"Santa Ana",1
"6482",2004,6,"Santa Ana",0
"6483",2004,7,"Santa Ana",0
"6484",2004,8,"Santa Ana",1
"6485",2004,9,"Santa Ana",2
"6486",2004,10,"Santa Ana",15
"6487",2004,11,"Santa Ana",50
"6488",2004,12,"Santa Ana",25
"6489",2005,1,"Santa Ana",9
"6490",2005,2,"Santa Ana",4
"6491",2005,3,"Santa Ana",1
"6492",2005,4,"Santa Ana",0
"6493",2005,5,"Santa Ana",1
"6494",2005,6,"Santa Ana",3
"6495",2005,7,"Santa Ana",10
"6496",2005,8,"Santa Ana",97
"6497",2005,9,"Santa Ana",155
"6498",2005,10,"Santa Ana",56
"6499",2005,11,"Santa Ana",28
"6500",2005,12,"Santa Ana",6
"6501",2006,1,"Santa Ana",3
"6502",2006,2,"Santa Ana",3
"6503",2006,3,"Santa Ana",3
"6504",2006,4,"Santa Ana",2
"6505",2006,5,"Santa Ana",7
"6506",2006,6,"Santa Ana",6
"6507",2006,7,"Santa Ana",0
"6508",2006,8,"Santa Ana",1
"6509",2006,9,"Santa Ana",2
"6510",2006,10,"Santa Ana",2
"6511",2006,11,"Santa Ana",0
"6512",2006,12,"Santa Ana",0
"6513",2007,1,"Santa Ana",5
"6514",2007,2,"Santa Ana",5
"6515",2007,3,"Santa Ana",6
"6516",2007,4,"Santa Ana",6
"6517",2007,5,"Santa Ana",3
"6518",2007,6,"Santa Ana",4
"6519",2007,7,"Santa Ana",4
"6520",2007,8,"Santa Ana",2
"6521",2007,9,"Santa Ana",5
"6522",2007,10,"Santa Ana",6
"6523",2007,11,"Santa Ana",3
"6524",2007,12,"Santa Ana",0
"6525",2008,1,"Santa Ana",2
"6526",2008,2,"Santa Ana",0
"6527",2008,3,"Santa Ana",2
"6528",2008,4,"Santa Ana",1
"6529",2008,5,"Santa Ana",0
"6530",2008,6,"Santa Ana",3
"6531",2008,7,"Santa Ana",0
"6532",2008,8,"Santa Ana",0
"6533",2008,9,"Santa Ana",2
"6534",2008,10,"Santa Ana",6
"6535",2008,11,"Santa Ana",0
"6536",2008,12,"Santa Ana",0
"6537",2009,1,"Santa Ana",0
"6538",2009,2,"Santa Ana",0
"6539",2009,3,"Santa Ana",0
"6540",2009,4,"Santa Ana",1
"6541",2009,5,"Santa Ana",1
"6542",2009,6,"Santa Ana",1
"6543",2009,7,"Santa Ana",1
"6544",2009,8,"Santa Ana",4
"6545",2009,9,"Santa Ana",3
"6546",2009,10,"Santa Ana",9
"6547",2009,11,"Santa Ana",5
"6548",2009,12,"Santa Ana",1
"6549",2010,1,"Santa Ana",14
"6550",2010,2,"Santa Ana",8
"6551",2010,3,"Santa Ana",10
"6552",2010,4,"Santa Ana",2
"6553",2010,5,"Santa Ana",34
"6554",2010,6,"Santa Ana",58
"6555",2010,7,"Santa Ana",202
"6556",2010,8,"Santa Ana",101
"6557",2010,9,"Santa Ana",87
"6558",2010,10,"Santa Ana",49
"6559",2010,11,"Santa Ana",12
"6560",2010,12,"Santa Ana",1
"6561",2011,1,"Santa Ana",4
"6562",2011,2,"Santa Ana",0
"6563",2011,3,"Santa Ana",0
"6564",2011,4,"Santa Ana",0
"6565",2011,5,"Santa Ana",0
"6566",2011,6,"Santa Ana",1
"6567",2011,7,"Santa Ana",1
"6568",2011,8,"Santa Ana",2
"6569",2011,9,"Santa Ana",2
"6570",2011,10,"Santa Ana",4
"6571",2011,11,"Santa Ana",24
"6572",2011,12,"Santa Ana",1
"6573",2012,1,"Santa Ana",0
"6574",2012,2,"Santa Ana",3
"6575",2012,3,"Santa Ana",0
"6576",2012,4,"Santa Ana",3
"6577",2012,5,"Santa Ana",1
"6578",2012,6,"Santa Ana",13
"6579",2012,7,"Santa Ana",7
"6580",2012,8,"Santa Ana",7
"6581",2012,9,"Santa Ana",18
"6582",2012,10,"Santa Ana",43
"6583",2012,11,"Santa Ana",24
"6584",2012,12,"Santa Ana",27
"6585",2013,1,"Santa Ana",8
"6586",2013,2,"Santa Ana",8
"6587",2013,3,"Santa Ana",5
"6588",2013,4,"Santa Ana",4
"6589",2013,5,"Santa Ana",2
"6590",2013,6,"Santa Ana",10
