"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2024-03-03,202410,4361,4499,4392,NA,25.7178071052946,25.8820861535255,26.0280278127907,86.6837609742408,88.0446962939514,89.4852514512081,9044605,1.47568545005559,0.935028118972581,0.613556700375528,93,23,"PE",2726.35789473684,13114.75,4806.23109481117
2024-03-10,202411,4167,4405,4234,NA,25.7350281846813,25.975378996756,26.209684620815,85.5470288908749,87.3357902687285,89.0593168795926,9044605,1.40202839151074,0.929690793572522,0.306896431629684,90,22,"PE",2637.16842105263,12656,4633.562447664
2024-03-17,202412,4194,4560.5,4301,NA,25.5994694354503,25.7851201300218,26.0143138809259,86.1187932869135,88.0291076233404,89.5543417762542,9044605,1.4331686126702,0.914790087571541,0.121065872970683,89,17,"PE",2609.74736842105,11928.5,4092.53510720286
2024-03-24,202413,3202,3769,3384,NA,25.5666494133886,25.8136196563722,26.0870564469749,84.9326293787167,86.5414121966083,88.1966893619652,9044605,1.29098097705759,0.685403619063519,0.0440870552113663,62,15,"PE",1803.57894736842,8661.625,3263.72396999643
2024-03-31,202414,3513,4400.5,3804,NA,25.21751638752,25.4192953529465,25.6289815786395,89.7534723893181,91.1711346791243,92.4041362674223,9044605,1.3466505170762,0.758261195486149,0.097758387458601,58,16,"PE",1683.50526315789,8337.25,3275.23466950624
2024-04-07,202415,2954,4352.5,3399,NA,25.3827036099012,25.6476097162495,25.9066182419388,85.5334495694896,87.3341151659586,89.2208921762733,9044605,1.32738533081323,0.878183182129015,0.122529950174717,68,15,"PE",1982.94736842105,9332.875,3401.8593536856
2024-04-14,202416,2122,4518,2766,NA,25.6027765992224,25.8662132319698,26.1402584282167,85.1559305973766,87.6476950746794,89.9181358981832,9044605,1.24695915410347,0.655488990398143,0.107022805307694,64,10,"PE",1865.84210526316,8269.75,2791.76432137988
2024-04-21,202417,523,4831.5,1536,NA,25.0950391809909,25.572165776221,26.1055777240117,84.2338591693063,87.117220771448,89.886464263198,9044605,1.23995099841287,0.630581656136448,0.225679175596944,74,13,"PE",2163.30526315789,9757.875,3332.79282676959
2024-04-28,202418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,9,"PE",1178.75789473684,5573.5,2158.64439526881
2019-04-28,201918,621,621,621,621,NA,26.0489281843318,28.0506912442396,70.7056678202765,81.7173354009217,NA,3268037,0.728873326709581,NA,0.311554612141784,17,0,"PI",182.888888888889,656.076923076923,340.680217749916
2019-05-05,201919,631,631,631,631,NA,25.792941124424,28.0552995391705,68.267207124424,80.1093187834101,NA,3268037,0.735793688994341,NA,0.298537317661948,11,0,"PI",89.5555555555556,441.461538461538,209.302451910335
2019-05-12,201920,637,637,637,637,NA,25.4884791612903,27.3041474654378,76.1797783732719,85.2840917557604,NA,3268037,0.795104522990407,NA,0.0300244458676569,15,6,"PI",200.444444444444,684.656804733728,439.523959283708
2019-05-19,201921,591,591,591,591,NA,25.5191874193549,27.36866359447,74.3649444700461,83.6201460921659,NA,3268037,0.737863738996835,NA,0.0451736011556785,17,5,"PI",223.444444444444,739.508875739645,459.543826205737
2019-05-26,201922,513,513,513,513,NA,25.3077504331797,27.483870967742,70.511202327189,81.6064760368664,NA,3268037,0.708497792405655,NA,0.00718259921781791,13,0,"PI",120.666666666667,513,253.095040523529
2019-06-02,201923,543,543,543,543,NA,24.5594888940092,26.8801843317972,68.7586590046083,81.3498160138249,NA,3268037,0.774561609920573,NA,0.012284132645989,12,5,"PI",145.666666666667,560.662721893491,350.062354672753
2019-06-09,201924,405,405,405,405,NA,25.0816577419355,27.0046082949309,69.6236961382488,79.9567257050691,NA,3268037,0.770598680492296,NA,0,17,5,"PI",223.444444444444,739.508875739645,459.543826205737
2019-06-16,201925,343,343,343,343,NA,24.0542103041474,26.110599078341,70.277904640553,81.3253389400922,NA,3268037,0.69925065107892,NA,0.00167072771819903,11,0,"PI",89.5555555555556,441.461538461538,209.302451910335
2019-06-23,201926,315,315,315,315,NA,23.6987850046083,25.6912442396313,69.313978,80.2507392073733,NA,3268037,0.719710945745106,NA,0,8,0,"PI",42.8888888888889,334.153846153846,143.613568990545
2019-06-30,201927,323,323,323,323,NA,24.59447,27.2672811059908,64.4061602304147,77.6485176682027,NA,3268037,0.695736920971213,NA,0.00163737436265256,10,0,"PI",74,405.692307692308,187.406157603739
2019-07-07,201928,247,247,247,247,NA,24.2526184239631,26.2350230414746,67.5046545852534,78.02327840553,NA,3268037,0.61208425730798,NA,0.00539742971086313,6,0,"PI",11.7777777777778,262.615384615385,99.8209803773516
2019-07-14,201929,235,235,235,235,NA,23.3740259262673,25.7465437788019,65.2721074147465,77.8891821981567,NA,3268037,0.393072967044131,NA,0.0112648663402526,0,0,"PI",0,48,0
2019-07-21,201930,197,197,197,197,NA,24.1456220552996,26.1198156682028,60.4029035668203,70.1059620092166,NA,3268037,0.387185028810873,NA,0,8,0,"PI",42.8888888888889,334.153846153846,143.613568990545
2019-07-28,201931,141,141,141,141,NA,23.9958109585253,26.5115207373272,62.3886696036867,75.0664751889401,NA,3268037,0.304873231239426,NA,0,7,0,"PI",27.3333333333333,298.384615384615,121.717274683948
2019-08-04,201932,110,110,110,110,NA,24.0964950046083,26.6175115207373,55.5628731428571,68.8963062165898,NA,3268037,0.318023327153273,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2019-08-11,201933,75,75,75,75,NA,24.453009483871,27.0230414746544,56.8647531013825,69.1175440599079,NA,3268037,0.290074439181686,NA,0,5,0,"PI",0,226.846153846154,77.9246860707549
2019-08-18,201934,65,65,65,65,NA,25.1284036958525,28.2488479262673,51.0833365391705,68.6457665529954,NA,3268037,0.2787759134918,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2019-08-25,201935,75,75,75,75,NA,25.0379135944701,27.8709677419355,50.715503046083,64.2473665714286,NA,3268037,0.336589824411413,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2019-09-01,201936,44,44,44,44,NA,25.7027649861751,29.0599078341014,49.0265039493088,68.0099352949309,NA,3268037,0.265625817577953,NA,0,5,0,"PI",0,226.846153846154,77.9246860707549
2019-09-08,201937,48,48,48,48,NA,25.6672252534562,28.6267281105991,50.67386559447,67.0061013778802,NA,3268037,0.0469645845502973,NA,0,0,0,"PI",0,48,0
2019-09-15,201938,33,33,33,33,NA,25.8513334930876,29.4331797235023,47.9003585990784,67.2184587465438,NA,3268037,0,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2019-09-22,201939,30,30,30,30,NA,25.877531124424,28.7741935483871,51.9300630460829,69.2467712672811,NA,3268037,0,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2019-09-29,201940,29,29,29,29,NA,26.2883395852535,29.2995391705069,55.6186839400922,70.2632671198157,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-10-06,201941,32,32,32,32,NA,25.9639113456221,29.3225806451613,50.6533858064516,69.0027699907834,NA,3268037,0.265625817577953,NA,0,0,0,"PI",0,48,0
2019-10-13,201942,26,26,26,26,NA,26.2981425714286,29.741935483871,50.083321843318,68.5622975069124,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-10-20,201943,32,32,32,32,NA,26.4210724516129,29.5529953917051,56.3514830322581,72.8485385115207,NA,3268037,0.00505747027955926,NA,0.00252873513977963,3,0,"PI",0,155.307692307692,34.1320974575614
2019-10-27,201944,23,23,23,23,NA,26.6289344239631,30.0276497695852,48.688668921659,67.4716706036866,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-11-03,201945,27,27,27,27,NA,26.821658967742,29.9907834101382,51.2044462304147,68.7088195760369,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-11-10,201946,29,29,29,29,NA,27.0622958156682,30.3502304147465,49.3128165161291,66.9712295069124,NA,3268037,0,NA,0,7,0,"PI",27.3333333333333,298.384615384615,121.717274683948
2019-11-17,201947,25,25,25,25,NA,26.721742718894,29.294930875576,57.2675280322581,70.9390030829493,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-11-24,201948,34,34,34,34,NA,27.3329516589862,30.4700460829493,52.9330201198157,71.0721474562212,NA,3268037,0.265625817577953,NA,0,6,0,"PI",11.7777777777778,262.615384615385,99.8209803773516
2019-12-01,201949,33,33,33,33,NA,27.093660078341,30.0414746543779,50.3121850967742,65.4119823502304,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-12-08,201950,31,31,31,31,NA,26.3593306543779,28.963133640553,61.0781089308756,73.5867134562212,NA,3268037,0.265625817577953,NA,0,0,0,"PI",0,48,0
2019-12-15,201951,20,20,20,20,NA,27.4158777142857,30.6682027649769,51.1332271705069,70.0615784884793,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-12-22,201952,13,13,13,13,NA,27.8568077788018,31.0046082949309,51.6452867695853,66.917024078341,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2019-12-29,202001,15,15,15,15,NA,27.2111561505376,31.1397849462366,56.1975640483871,76.2356059247312,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-01-05,202002,24,24,24,24,NA,27.2904377419355,32.0645161290323,54.865582718894,77.2982665391705,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-01-12,202003,28,28,28,28,NA,28.6395929308756,33.8986175115207,44.9676522764977,67.7967934285714,NA,3268037,0,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2020-01-19,202004,42,42,42,42,NA,27.6000384608295,32.1751152073733,53.9673245714286,76.3506822534562,NA,3268037,0.265625817577953,NA,0.265625817577953,3,0,"PI",0,155.307692307692,34.1320974575614
2020-01-26,202005,45,45,45,45,NA,27.4616392165898,32.7050691244239,54.1462057834101,77.0518040829493,NA,3268037,0.265625817577953,NA,0,6,0,"PI",11.7777777777778,262.615384615385,99.8209803773516
2020-02-02,202006,58,58,58,58,NA,25.4710445069124,28.0967741935484,72.2174718341014,86.1284274516129,NA,3268037,0.265625817577953,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
