Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco)
2023-06-18,7,2
2023-06-25,8,3
2023-07-02,11,1
2023-07-09,8,1
2023-07-16,6,1
2023-07-23,5,1
2023-07-30,6,1
2023-08-06,6,2
2023-08-13,6,1
2023-08-20,7,2
2023-08-27,7,2
2023-09-03,6,1
2023-09-10,6,0
2023-09-17,6,2
2023-09-24,6,2
2023-10-01,6,2
2023-10-08,5,2
2023-10-15,6,2
2023-10-22,6,1
2023-10-29,4,1
2023-11-05,6,2
2023-11-12,5,0
2023-11-19,7,2
2023-11-26,7,2
2023-12-03,6,1
2023-12-10,6,2
2023-12-17,6,1
2023-12-24,6,2
2023-12-31,8,2
2024-01-07,9,3
2024-01-14,7,2
2024-01-21,12,2
2024-01-28,19,3
2024-02-04,32,9
2024-02-11,52,15
2024-02-18,88,22
2024-02-25,100,21
2024-03-03,96,24
2024-03-10,88,19
2024-03-17,85,17
2024-03-24,58,15
2024-03-31,57,15
2024-04-07,65,14
2024-04-14,58,13
2024-04-21,69,13
2024-04-28,45,10
2024-05-05,36,7
2024-05-12,32,6
2024-05-19,31,8
2024-05-26,27,5
2024-06-02,26,4
2024-06-09,23,5
2024-06-16,19,4
2024-06-23,17,3
2024-06-30,17,4
2024-07-07,14,3
2024-07-14,15,3
2024-07-21,11,3
2024-07-28,13,3
2024-08-04,13,2
2024-08-11,11,2
2024-08-18,12,2
2024-08-25,10,2
2024-09-01,9,1
2024-09-08,10,2
2024-09-15,9,0
2024-09-22,9,1
2024-09-29,8,2
2024-10-06,6,1
2024-10-13,10,2
2024-10-20,10,1
2024-10-27,7,1
2024-11-03,8,0
2024-11-10,8,0
2024-11-17,7,2
2024-11-24,8,2
2024-12-01,8,2
2024-12-08,6,1
2024-12-15,8,0
2024-12-22,6,0
2024-12-29,6,1
2025-01-05,7,2
2025-01-12,10,2
2025-01-19,12,2
2025-01-26,11,2
2025-02-02,9,1
2025-02-09,14,2
2025-02-16,13,3
2025-02-23,14,3
2025-03-02,9,2
2025-03-09,13,2
2025-03-16,12,2
2025-03-23,15,2
2025-03-30,14,2
2025-04-06,21,3
