"ew_start","sum_of_cases","dengue","sintomas.dengue","tratamento.dengue","uf","lwr","upr","prediction"
2020-08-23,98,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2020-08-30,82,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2020-09-06,92,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2020-09-13,78,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2020-09-20,77,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2020-09-27,73,1,1,0,"SC",-2202.52603416305,1399.98038647501,-401.272823844019
2020-10-04,59,1,0,0,"SC",-2275.46092528585,1327.04549535221,-474.207714966817
2020-10-11,96,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2020-10-18,90,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2020-10-25,82,3,0,0,"SC",-1807.55844282034,1794.94797781772,-6.30523250131057
2020-11-01,101,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2020-11-08,99,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2020-11-15,129,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2020-11-22,132,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2020-11-29,144,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2020-12-06,108,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2020-12-13,86,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2020-12-20,64,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2020-12-27,66,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2021-01-03,137,4,1,1,"SC",-813.216000895166,2789.29041974289,988.037209423863
2021-01-10,164,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2021-01-17,162,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-01-24,176,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2021-01-31,230,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2021-02-07,244,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2021-02-14,280,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2021-02-21,319,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2021-02-28,411,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2021-03-07,600,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2021-03-14,888,7,1,0,"SC",-798.818586766528,2803.68783387153,1002.4346235525
2021-03-21,1190,8,2,0,"SC",-491.932454410976,3110.57396622708,1309.32075590805
2021-03-28,1668,10,3,0,"SC",48.9049191773286,3651.41133981538,1850.15812949636
2021-04-04,1953,11,3,0,"SC",282.856160410082,3885.36258104814,2084.10937072911
2021-04-11,2035,11,4,0,"SC",355.79105153288,3958.29747217094,2157.04426185191
2021-04-18,2950,13,3,1,"SC",1438.21495244521,5040.72137308327,3239.46816276424
2021-04-25,2762,15,4,1,"SC",1979.05232603352,5581.55874667157,3780.30553635254
2021-05-02,2718,15,4,0,"SC",1291.59601646389,4894.10243710195,3092.84922678292
2021-05-09,2410,12,4,0,"SC",589.742292765633,4192.24871340369,2390.99550308466
2021-05-16,1950,11,2,0,"SC",209.921269287284,3812.42768992534,2011.17447960631
2021-05-23,1881,10,3,0,"SC",48.9049191773286,3651.41133981538,1850.15812949636
2021-05-30,1309,9,3,0,"SC",-185.046322055425,3417.46009858263,1616.2068882636
2021-06-06,1143,9,3,0,"SC",-185.046322055425,3417.46009858263,1616.2068882636
2021-06-13,813,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2021-06-20,608,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2021-06-27,451,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2021-07-04,438,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2021-07-11,329,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2021-07-18,315,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-07-25,239,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-08-01,245,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-08-08,218,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-08-15,214,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-08-22,193,3,0,0,"SC",-1807.55844282034,1794.94797781772,-6.30523250131057
2021-08-29,187,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-09-05,160,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-09-12,137,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2021-09-19,170,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-09-26,139,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-10-03,107,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-10-10,138,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-10-17,135,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-10-24,152,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2021-10-31,166,1,0,0,"SC",-2275.46092528585,1327.04549535221,-474.207714966817
2021-11-07,143,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-11-14,166,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
