Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins),tratamento dengue: (Tocantins)
2023-05-07,25,0,0
2023-05-14,25,5,0
2023-05-21,18,5,0
2023-05-28,13,0,0
2023-06-04,11,0,0
2023-06-11,12,0,0
2023-06-18,9,0,0
2023-06-25,9,0,0
2023-07-02,7,0,0
2023-07-09,7,0,0
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,0,0,0
2023-08-13,7,0,0
2023-08-20,5,0,0
2023-08-27,7,0,0
2023-09-03,11,0,0
2023-09-10,0,0,0
2023-09-17,0,0,0
2023-09-24,6,0,0
2023-10-01,0,0,0
2023-10-08,0,0,0
2023-10-15,0,0,0
2023-10-22,6,0,0
2023-10-29,0,0,0
2023-11-05,8,0,0
2023-11-12,7,0,0
2023-11-19,8,0,0
2023-11-26,6,5,0
2023-12-03,7,0,0
2023-12-10,8,0,0
2023-12-17,10,0,0
2023-12-24,0,0,0
2023-12-31,9,0,0
2024-01-07,12,0,0
2024-01-14,10,0,0
2024-01-21,17,0,0
2024-01-28,20,8,0
2024-02-04,31,8,0
2024-02-11,51,8,0
2024-02-18,50,8,0
2024-02-25,57,6,0
2024-03-03,56,14,0
2024-03-10,40,6,0
2024-03-17,46,7,0
2024-03-24,33,0,0
2024-03-31,43,7,1
2024-04-07,36,8,1
2024-04-14,39,7,0
